Name,Number,CP,HP,Move1,Move2,Height,Weight,Attack,Defence,Stamina,Total,Date,Form,Shiny,Level,Lucky,Trade
Ariados,168,1427,135,Poison Sting,Cross Poison,1.117568,35.531590,9,9,13,31,1538809998,0,0,30.000000,0,0

Squirtle,7,535,84,Bubble,Aqua Tail,0.442446,8.638476,14,15,15,44,1546361907,0,0,20.000000,0,0

Clefable,36,1796,154,Charge Beam,Moonblast,1.222427,35.128506,11,4,2,17,1480430594,0,0,28.000000,0,0

Dragonite,149,2895,153,Dragon Tail,Draco Meteor,2.490932,275.233490,14,15,12,41,1543767274,0,0,27.000000,0,0

Espeon,196,3104,138,Confusion,Futuresight,0.914101,28.440849,14,15,14,43,1527952938,0,0,39.000000,0,1538137048163

Luvdisc,370,456,80,Water Gun,Aqua Jet,0.682544,11.374286,12,12,10,34,1541588640,0,0,20.000000,0,0

Totodile,158,44,23,Scratch,Crunch,0.716662,11.795040,9,5,3,17,1546079110,0,0,2.000000,0,0

Snorunt,361,706,103,Powder Snow,Avalanche,0.628523,13.473468,14,9,4,27,1545555896,0,0,30.000000,0,0

Misdreavus,200,544,72,Astonish,Dark Pulse,0.680103,1.009143,7,2,8,17,1543590622,0,0,11.000000,0,0

Snorlax,143,1810,206,Zen Headbutt,Hyper Beam,1.802194,375.303284,13,12,15,40,1540143645,0,0,20.000000,0,0

Seadra,117,1612,113,Water Gun,Dragon Pulse,1.384173,39.238678,8,14,15,37,1539278149,0,0,28.000000,0,1540996935021

Magikarp,129,148,56,Splash,Struggle,0.862206,9.221243,14,13,10,37,1546373788,0,0,20.000000,0,0

Lugia,249,2100,148,Dragon Tail,Hydro Pump,5.620615,263.746674,15,13,13,41,1544957814,0,0,20.000000,0,0

Pichu,172,251,57,Thunder Shock,Thunder Punch,0.327763,2.825140,11,14,11,36,1546369794,0,0,20.000000,0,0

Blissey,242,2484,390,Zen Headbutt,Hyper Beam,1.631618,49.063766,10,10,11,31,1479952646,0,0,36.500000,0,0

Misdreavus,200,795,86,Hex,Shadow Sneak,0.664767,0.588036,12,11,12,35,1545648639,0,0,15.000000,0,0

Exeggcute,102,912,112,Bullet Seed,Psychic,0.467013,3.645618,14,11,1,26,1542366050,0,0,29.000000,0,0

Snorunt,361,474,89,Hex,Shadow Ball,0.732688,17.938164,10,12,13,35,1546241063,0,0,20.000000,0,0

Goldeen,118,742,90,Mud Shot,Horn Attack,0.665280,16.476768,9,15,10,34,1538308518,0,0,24.000000,0,0

Seadra,117,1521,107,Water Gun,Aurora Beam,1.320195,28.902697,7,15,9,31,1480462564,0,0,27.000000,0,0

Magnemite,81,732,62,Spark ,Magnet Bomb,0.295857,6.170314,10,10,12,32,1546329669,0,0,20.000000,0,0

Natu,177,859,97,Quick Attack,Psyshock,0.240698,2.865242,8,7,13,28,1540206953,0,0,30.000000,0,0

Ralts,280,435,80,Charge Beam,Psyshock,0.518146,11.111260,12,8,9,29,1545566318,0,0,33.000000,0,0

Raichu,26,1204,99,Spark ,Thunder Punch,0.789603,25.919498,11,13,12,36,1540362558,0,0,20.000000,0,0

Stunky,434,649,103,Bite,Flamethrower,0.409248,18.215265,15,13,14,42,1546182100,0,0,20.000000,0,0

Persian,53,982,106,Feint Attack,Play Rough,0.935578,17.078701,11,13,15,39,1537944215,66,0,20.000000,0,0

Cyndaquil,155,335,61,Ember,Swift,0.516055,7.893791,15,15,14,44,1541844713,0,0,12.000000,0,0

Feraligatr,160,1140,105,Waterfall,Ice Beam,2.438128,84.735992,15,15,14,44,1487888639,0,0,14.000000,0,0

Charizard,6,1628,120,Ember,Fire Blast,1.902825,116.190063,13,13,15,41,1476396321,0,0,20.000000,0,0

Wurmple,265,355,93,Bug Bite,Struggle,0.254449,2.945702,12,1,12,25,1543581955,0,0,25.000000,0,0

Chikorita,152,626,101,Vine Whip,Energy Ball,0.959689,7.199589,1,5,15,21,1543646251,0,0,28.000000,0,0

Slowbro,80,1407,136,Water Gun,Water Pulse,1.473423,75.052032,10,15,12,37,1477174629,0,0,20.000000,0,0

Aron,304,1072,110,Metal Claw,Iron Head,0.339327,40.296089,10,14,14,38,1538462304,0,0,30.000000,0,0

Stunky,434,634,103,Scratch,Flamethrower,0.336643,7.300079,11,15,13,39,1546182100,0,0,20.000000,0,0

Horsea,116,536,64,Water Gun,Dragon Pulse,0.334476,5.370772,3,8,4,15,1541716508,0,0,21.000000,0,0

Zapdos,145,1970,129,Charge Beam,Thunderbolt,1.676317,54.031948,14,12,10,36,1502814902,0,0,20.000000,0,0

Rattata,19,524,78,Tackle,Shadow Ball,0.289034,3.997648,13,8,11,32,1540637232,46,0,27.000000,0,0

Tauros,128,1453,115,Zen Headbutt,Earthquake,1.474305,112.100365,12,12,12,36,1538498755,0,0,20.000000,0,0

Larvitar,246,566,90,Bite,Ancient Power,0.568389,49.042927,10,13,15,38,1546257688,0,0,20.000000,0,0

Misdreavus,200,1468,112,Hex,Ominous Wind,0.698633,1.032761,12,7,1,20,1544598798,0,0,29.000000,0,0

Suicune,245,1269,124,Snarl,Hydro Pump,1.637561,132.196457,14,14,15,43,1538640152,0,0,15.000000,0,0

Luvdisc,370,466,81,Splash,Draining Kiss,0.587804,8.918078,13,14,11,38,1546375756,0,0,20.000000,0,0

Gligar,207,789,90,Wing Attack,Aerial Ace,1.171223,84.189064,1,14,2,17,1541609210,0,0,17.000000,0,0

Snorunt,361,32,24,Hex,Shadow Ball,0.651985,13.640755,0,9,9,18,1545897236,0,0,2.000000,0,0

Buizel,418,595,96,Quick Attack,Aqua Jet,0.806141,35.734711,14,14,15,43,1543577624,0,0,20.000000,0,0

Dodrio,85,713,71,Feint Attack,Drill Peck,1.775517,79.816658,12,15,6,33,1538411350,0,0,11.000000,0,0

Arcanine,59,1361,118,Bite,Flamethrower,1.879851,134.552490,15,9,15,39,1476475562,0,0,16.000000,0,0

Exeggutor,103,1673,136,Dragon Tail,Dragon Pulse,12.049159,539.049622,12,11,13,36,1539798609,78,0,20.000000,0,0

Starmie,121,2056,120,Water Gun,Power Gem,1.019369,66.275475,8,15,12,35,1480467084,0,0,29.000000,0,0

Golduck,55,1030,105,Confusion,Psychic,2.084083,101.870712,12,15,13,40,1544820690,0,0,15.000000,0,0

Seedot,273,215,65,Bullet Seed,Energy Ball,0.482352,3.085970,7,7,7,21,1546186358,0,0,15.000000,0,0

Seaking,119,1738,140,Peck,Water Pulse,1.357717,34.513447,14,15,5,34,1480426281,0,0,29.000000,0,0

Chimchar,390,520,83,Ember,Flame Wheel,0.427972,3.481103,11,13,13,37,1545468361,0,0,20.000000,0,0

Giratina,487,1857,175,Dragon Breath,Ancient Power,4.567111,859.647949,11,10,10,31,1541520465,90,0,20.000000,0,0

Squirtle,7,556,83,Tackle,Water Pulse,0.523545,10.799527,15,5,7,27,1543661481,0,1,22.000000,0,0

Golduck,55,1386,120,Water Gun,Psychic,1.495272,56.784241,15,14,12,41,1488062627,0,0,20.000000,0,0

Snubbull,209,699,105,Tackle,Brick Break,0.611076,9.100480,8,5,13,26,1545130470,0,0,22.000000,0,0

Gyarados,130,3304,181,Waterfall,Hydro Pump,6.252482,200.354767,14,12,15,41,1471256934,0,0,39.000000,0,0

Flareon,136,1442,96,Ember,Fire Blast,0.882987,22.772541,14,12,12,38,1480187521,0,0,17.000000,0,0

Magikarp,129,114,49,Splash,Struggle,0.986787,10.331594,15,14,10,39,1544860270,0,0,15.000000,0,0

Drifloon,425,383,102,Hex,Icy Wind,0.420109,1.321617,10,10,14,34,1540449791,0,0,12.000000,0,0

Swablu,333,626,98,Astonish,Disarming Voice,0.393162,0.952067,14,15,14,43,1541776825,0,0,27.000000,0,0

Victreebel,71,1358,122,Razor Leaf,Leaf Blade,1.642244,9.008347,10,15,15,40,1476823367,0,0,20.000000,0,0

Buizel,418,572,96,Water Gun,Aqua Jet,0.748815,28.709408,12,10,15,37,1544186403,0,0,20.000000,0,0

Aipom,190,691,90,Scratch,Swift,0.821908,13.068439,13,9,9,31,1541242946,0,0,19.000000,0,0

Oddish,43,605,75,Razor Leaf,Seed Bomb,0.515625,5.324623,15,4,1,20,1542794341,0,0,19.000000,0,0

Spheal,363,540,109,Water Gun,Water Pulse,0.764701,42.280811,15,13,12,40,1538407111,0,0,20.000000,0,0

Aerodactyl,142,1571,119,Steel Wing,Hyper Beam,1.686723,59.302299,15,15,10,40,1546256703,0,0,20.000000,0,0

Cubone,104,462,84,Mud Slap,Dig,0.408338,6.516582,7,4,12,23,1543309291,0,0,18.000000,0,0

Gulpin,316,753,138,Pound,Ice Beam,0.391630,9.491587,14,14,14,42,1541519198,0,0,32.000000,0,0

Spheal,363,556,113,Water Gun,Water Pulse,0.981155,68.041634,12,14,13,39,1538338647,0,0,21.000000,0,0

Geodude,74,708,78,Rock Throw,Rock Tomb,0.392624,23.812027,13,11,11,35,1537945180,68,0,20.000000,0,0

Snorunt,361,458,84,Hex,Avalanche,0.722864,15.995418,10,11,4,25,1545467946,0,0,20.000000,0,0

Pikachu,25,467,68,Thunder Shock,Surf,0.400179,6.321442,6,4,1,11,1543790645,0,0,21.000000,0,0

Pikachu,25,806,88,Thunder Shock,Thunderbolt,0.398303,6.595167,12,15,6,33,1538921685,0,0,34.000000,0,1539330750913

Qwilfish,211,883,93,Water Gun,Aqua Tail,0.606159,5.234155,13,3,12,28,1541775014,0,0,16.000000,0,0

Forretress,205,1289,117,Struggle Bug,Heavy Slam,1.319790,168.420303,13,15,15,43,1487626518,0,0,20.000000,0,0

Togepi,175,359,73,Peck,Psyshock,0.309681,1.620356,14,10,12,36,1538934025,0,0,20.000000,0,0

Metagross,376,2148,121,Zen Headbutt,Meteor Mash,1.531855,534.023560,14,14,14,42,1538576379,0,0,20.000000,0,0

Delcatty,301,1175,131,Zen Headbutt,Wild Charge,0.985950,26.970449,5,9,5,19,1540117230,0,0,32.000000,0,0

Marowak,105,1291,113,Hex,Fire Blast,1.005802,38.156837,13,14,15,42,1540144432,80,0,25.000000,0,0

Wurmple,265,101,49,Bug Bite,Struggle,0.357587,5.402724,7,0,3,10,1538481787,0,0,8.000000,0,0

Magikarp,129,137,58,Splash,Struggle,0.778446,8.288617,11,10,13,34,1546184294,0,0,20.000000,0,0

Beldum,374,622,81,Take Down,Struggle,0.649535,81.649994,15,15,7,37,1540119983,0,0,23.000000,0,1540124764865

Gulpin,316,683,138,Rock Smash,Gunk Shot,0.440157,8.071564,4,9,10,23,1538941694,0,0,35.000000,0,0

Spiritomb,442,851,76,Feint Attack,Shadow Ball,1.135238,157.671631,12,11,10,33,1540530203,0,0,15.000000,0,0

Breloom,286,1904,114,Bullet Seed,Seed Bomb,1.215816,31.815775,15,9,13,37,1541244433,0,0,26.000000,0,0

Beldum,374,537,80,Take Down,Struggle,0.551528,41.237423,12,13,14,39,1546425294,0,0,20.000000,0,0

Pikachu,25,515,77,Quick Attack,Discharge,0.364542,4.590456,3,10,12,25,1540739262,0,0,22.000000,0,0

Zubat,41,549,95,Quick Attack,Sludge Bomb,1.055998,14.232612,14,13,10,37,1480458026,0,0,30.000000,0,0

Dratini,147,768,89,Iron Tail,Twister,1.860730,4.001190,11,9,1,21,1543667564,0,0,30.000000,0,0

Exeggutor,103,1682,136,Confusion,Psychic,1.902161,102.982529,13,12,12,37,1479499236,0,0,20.000000,0,0

Cyndaquil,155,565,80,Ember,Swift,0.570659,10.421427,14,9,14,37,1541853321,0,0,21.000000,0,0

Celebi,251,1365,123,Charge Beam,Hyper Beam,0.481393,4.290124,10,15,14,39,1539522828,0,0,15.000000,0,0

Delibird,225,626,86,Present,Ice Punch,1.037091,21.212296,9,2,7,18,1545895309,0,0,23.000000,0,0

Kabutops,141,1103,87,Mud Shot,Water Pulse,1.216690,32.145164,7,8,15,30,1479908765,0,0,15.000000,0,0

Skorupi,451,674,84,Infestation,Cross Poison,0.770111,9.731652,9,13,4,26,1546342765,0,0,26.000000,0,0

Kricketune,402,1214,134,Struggle Bug,Bug Buzz,0.854638,20.598595,15,13,14,42,1539800322,0,0,26.000000,0,0

MrMime,122,2012,102,Zen Headbutt,Shadow Ball,1.224102,45.473518,13,14,15,42,1541086033,0,0,34.000000,0,0

Dratini,147,582,80,Dragon Breath,Wrap,1.841550,3.146837,13,15,10,38,1477480119,0,0,21.000000,0,0

Azumarill,184,1353,177,Bubble,Hydro Pump,0.716886,19.287477,7,13,8,28,1540851283,0,0,35.000000,0,0

Snorunt,361,492,90,Hex,Shadow Ball,0.651533,17.838907,12,15,14,41,1543565674,0,0,20.000000,0,0

Shinx,403,483,85,Tackle,Thunderbolt,0.417585,8.120751,13,12,15,40,1542720422,0,0,20.000000,1,1543496416775

Snover,459,713,102,Ice Shard,Energy Ball,1.087525,58.175446,15,15,8,38,1545896602,0,0,22.000000,0,0

Houndour,228,303,57,Feint Attack,Flamethrower,0.615213,11.298599,13,10,15,38,1540400572,0,0,9.000000,0,0

Vileplume,45,1086,100,Acid,Solar Beam,1.071900,15.661741,14,15,13,42,1476373260,0,0,15.000000,0,0

Horsea,116,623,68,Water Gun,Bubble Beam,0.410381,9.027820,8,12,5,25,1480718204,0,0,23.000000,0,0

Chansey,113,507,258,Zen Headbutt,Dazzling Gleam,1.088086,33.836853,11,15,12,38,1541844171,0,0,15.000000,0,0

Sandslash,28,2091,144,Metal Claw,Rock Tomb,1.199094,43.361145,13,5,9,27,1537977973,53,0,35.000000,0,0

Primeape,57,1498,113,Low Kick,Close Combat,1.127300,42.241776,2,5,4,11,1537808047,0,0,26.000000,0,0

Charizard,6,2780,155,Air Slash,Blast Burn,1.387740,66.325432,13,12,12,37,1543664494,0,1,39.000000,1,1543680864880

Squirtle,7,113,36,Bubble,Water Pulse,0.421817,7.661437,14,2,0,16,1543662833,0,1,5.000000,0,0

Dragonite,149,3677,174,Dragon Breath,Outrage,2.135757,184.638702,13,12,14,39,1478620475,0,0,39.000000,0,0

Magby,240,749,85,Ember,Flame Burst,0.896476,34.343571,15,13,15,43,1487762582,0,0,20.000000,0,0

Staryu,120,886,76,Tackle,Swift,0.843093,38.855267,13,4,3,20,1480466356,0,0,30.000000,0,0

Pikachu,25,375,66,Quick Attack,Surf,0.464093,7.964773,5,5,14,24,1543791145,0,0,16.000000,0,0

Growlithe,58,1058,117,Ember,Flamethrower,0.786882,20.696375,14,15,15,44,1541670470,0,0,30.000000,0,0

Donphan,232,2350,160,Counter,Heavy Slam,0.971213,99.502525,3,1,13,17,1502206300,0,0,30.000000,0,0

Arcanine,59,2338,147,Fire Fang,Fire Blast,2.174122,208.202820,15,13,2,30,1478649322,0,0,28.000000,0,0

Horsea,116,727,72,Water Gun,Bubble Beam,0.380588,7.556634,9,12,2,23,1539518157,0,0,27.000000,0,0

Cleffa,173,368,88,Pound,Grass Knot,0.318202,3.392928,13,14,11,38,1541775062,0,0,20.000000,0,0

Shedinja,292,160,10,Bug Bite,Dig,0.758861,1.263028,12,15,14,41,1542779415,0,0,0.000000,0,0

Cascoon,268,268,85,Poison Sting,Struggle,0.588304,7.444672,4,13,2,19,1539962408,0,0,21.000000,0,0

Noctowl,164,1626,170,Extrasensory,Psychic,1.717169,46.060619,12,13,12,37,1487321688,0,0,29.000000,0,0

Aipom,190,1146,118,Astonish,Low Sweep,0.639539,5.503297,12,3,9,24,1538376566,0,0,35.000000,0,1539946037639

Machop,66,641,107,Karate Chop,Brick Break,0.814743,24.284420,6,13,12,31,1546257427,0,0,19.000000,0,0

Larvitar,246,800,107,Bite,Ancient Power,0.594913,63.906631,10,15,15,40,1487892538,0,0,28.000000,0,0

Porygon,137,958,105,Hidden Power,Zap Cannon,0.793458,35.241047,13,12,14,39,1542587523,0,0,20.000000,1,1542647308620

Tentacruel,73,2151,151,PoisonJab,Hydro Pump,1.190683,27.778618,14,9,11,34,1541519161,0,0,34.000000,0,0

Zigzagoon,263,223,68,Tackle,Thunderbolt,0.443336,21.497282,13,7,8,28,1544535939,0,0,17.000000,0,0

Torchic,255,803,101,Ember,Flamethrower,0.484444,3.069144,7,4,13,24,1546373203,0,0,29.000000,0,0

Gyarados,130,1921,137,Bite,Hydro Pump,6.940295,197.119232,14,14,14,42,1480287197,0,0,20.000000,0,0

Snorunt,361,500,90,Powder Snow,Icy Wind,0.496053,5.892657,15,12,15,42,1540644786,0,0,20.000000,0,0

Banette,354,1748,122,Shadow Claw,Thunder,0.980287,11.224982,12,7,12,31,1540561269,0,0,28.000000,0,0

Munchlax,446,1048,176,Tackle,Bulldoze,0.673218,116.464134,14,11,10,35,1546182100,0,0,20.000000,0,0

Snorlax,143,1824,204,Lick,Heavy Slam,2.052788,507.390930,14,14,13,41,1540143645,0,0,20.000000,0,0

Aipom,190,1128,114,Astonish,Low Sweep,0.639539,5.503297,11,4,5,20,1538376466,0,0,35.000000,0,0

Gastly,92,580,66,Lick,Dark Pulse,1.466943,0.133298,3,5,12,20,1541761492,0,0,19.000000,0,0

Cresselia,488,1592,163,Confusion,Aurora Beam,1.538563,88.416672,13,10,13,36,1543946784,0,0,20.000000,0,0

Sneasel,215,928,85,Ice Shard,Ice Punch,0.723893,21.981184,13,2,9,24,1545468565,0,0,17.000000,0,0

Phanpy,231,714,137,Rock Smash,Rock Slide,0.417903,30.171505,9,14,13,36,1541426680,0,0,22.000000,0,0

Starly,396,583,92,Quick Attack,Brave Bird,0.294336,1.390230,15,12,6,33,1544598551,0,0,30.000000,0,0

Togepi,175,344,74,Hidden Power,Dazzling Gleam,0.261852,1.447117,10,11,13,34,1546349443,0,0,20.000000,0,0

Porygon,137,720,89,Hidden Power,Hyper Beam,0.728084,32.672657,14,14,10,38,1544788541,0,0,15.000000,0,0

Togepi,175,361,75,Peck,Psyshock,0.266717,0.999982,13,11,15,39,1545505672,0,0,20.000000,0,0

Grimer,88,754,121,Bite,Crunch,0.583140,21.292650,13,10,14,37,1546078623,74,0,20.000000,0,0

Weepinbell,70,1126,118,Bullet Seed,Power Whip,0.884669,4.467566,11,15,15,41,1538148331,0,0,25.000000,0,0

Pinsir,127,1248,92,Bug Bite,Close Combat,1.757886,78.803406,13,12,15,40,1541603972,0,0,15.000000,0,0

Snorunt,361,492,90,Hex,Shadow Ball,0.678083,16.255589,13,13,14,40,1540560506,0,0,20.000000,0,0

Magby,240,737,84,Karate Chop,Brick Break,0.500996,10.113037,15,10,14,39,1545688217,0,0,20.000000,0,0

Snorunt,361,253,62,Hex,Shadow Ball,0.632530,17.645771,13,7,3,23,1545729790,0,0,11.000000,0,0

Eevee,133,664,98,Tackle,Last Resort,0.337349,8.422515,14,9,7,30,1543677876,0,1,23.000000,0,0

Grimer,88,1143,149,PoisonJab,Sludge Bomb,0.973190,33.120594,11,12,13,36,1543508640,73,0,31.000000,0,0

Spinda,327,495,85,Sucker Punch,Icy Wind,1.087740,5.111594,10,14,11,35,1541243476,43,0,15.000000,0,0

Totodile,158,137,42,Water Gun,Water Pulse,0.551459,6.978235,9,7,8,24,1544607205,0,0,5.000000,0,0

Slakoth,287,542,98,Yawn,Body Slam,0.692045,14.536678,11,14,10,35,1546357468,0,0,20.000000,0,0

Qwilfish,211,932,94,Water Gun,Aqua Tail,0.549643,3.690033,15,14,14,43,1546329446,0,0,16.000000,0,0

Bagon,371,642,83,Ember,Twister,0.460744,21.326115,13,15,11,39,1545507663,0,0,20.000000,0,0

Carvanha,318,565,83,Bite,Crunch,0.794458,21.138905,12,15,11,38,1538846872,0,0,20.000000,0,0

Wynaut,360,273,135,Counter,Mirror Coat,0.692127,18.267630,11,10,11,32,1539273334,0,0,20.000000,0,0

Treecko,252,785,92,Bullet Seed,Energy Ball,0.593691,7.842313,14,11,13,38,1539844704,0,0,27.000000,0,0

Aipom,190,1086,113,Astonish,Low Sweep,0.814972,10.376176,10,4,5,19,1544535693,0,0,33.000000,0,0

Mareep,179,790,111,Tackle,Discharge,0.605204,6.120519,13,10,6,29,1543646184,0,0,30.000000,0,0

Ninetales,38,1684,127,Feint Attack,Fire Blast,0.961151,15.712252,10,7,3,20,1479939671,0,0,28.000000,0,0

Rapidash,78,2060,130,Fire Spin,Fire Blast,1.996537,130.170502,9,7,13,29,1537804725,0,0,32.000000,0,0

Octillery,224,1167,105,Water Gun,Aurora Beam,0.733116,18.237638,10,12,0,22,1487298270,0,0,19.000000,0,0

Dratini,147,719,90,Dragon Breath,Aqua Tail,1.760855,2.336994,12,9,9,30,1543659849,0,0,27.000000,0,0

Armaldo,348,2584,143,Struggle Bug,Cross Poison,1.382527,71.717354,15,13,8,36,1542651311,0,0,35.000000,0,1543495495819

Porygon,137,936,103,Charge Beam,Solar Beam,0.888720,42.700809,11,11,11,33,1541850796,0,0,20.000000,0,0

Buneary,427,698,95,Quick Attack,Fire Punch,0.359404,4.805747,13,12,14,39,1545578086,0,0,20.000000,0,0

